date,sku,warehouse,inventory_units,unit_cost,service_level_target
2025-05-17,SKU-C300,WH-Sarajevo,433,19.9,0.95
2025-05-18,SKU-A100,WH-Sarajevo,298,12.5,0.95
2025-05-18,SKU-B200,WH-Sarajevo,127,7.8,0.95
2025-05-18,SKU-C300,WH-Sarajevo,404,19.9,0.95
2025-05-19,SKU-A100,WH-Sarajevo,249,12.5,0.95
2025-05-19,SKU-B200,WH-Sarajevo,187,7.8,0.95
2025-05-19,SKU-C300,WH-Sarajevo,385,19.9,0.95
2025-05-20,SKU-A100,WH-Sarajevo,276,12.5,0.95
2025-05-20,SKU-B200,WH-Sarajevo,127,7.8,0.95
2025-05-20,SKU-C300,WH-Sarajevo,388,19.9,0.95
2025-05-21,SKU-A100,WH-Sarajevo,244,12.5,0.95
2025-05-21,SKU-B200,WH-Sarajevo,120,7.8,0.95
2025-05-21,SKU-C300,WH-Sarajevo,389,19.9,0.95
2025-05-22,SKU-A100,WH-Sarajevo,305,12.5,0.95
2025-05-22,SKU-B200,WH-Sarajevo,133,7.8,0.95
2025-05-22,SKU-C300,WH-Sarajevo,428,19.9,0.95
2025-05-23,SKU-A100,WH-Sarajevo,277,12.5,0.95
2025-05-23,SKU-B200,WH-Sarajevo,157,7.8,0.95
2025-05-23,SKU-C300,WH-Sarajevo,390,19.9,0.95
2025-05-24,SKU-A100,WH-Sarajevo,306,12.5,0.95
2025-05-24,SKU-B200,WH-Sarajevo,128,7.8,0.95
2025-05-24,SKU-C300,WH-Sarajevo,394,19.9,0.95
2025-05-25,SKU-A100,WH-Sarajevo,264,12.5,0.95
2025-05-25,SKU-B200,WH-Sarajevo,125,7.8,0.95
2025-05-25,SKU-C300,WH-Sarajevo,445,19.9,0.95
2025-05-26,SKU-A100,WH-Sarajevo,247,12.5,0.95
2025-05-26,SKU-B200,WH-Sarajevo,129,7.8,0.95
2025-05-26,SKU-C300,WH-Sarajevo,431,19.9,0.95
2025-05-27,SKU-A100,WH-Sarajevo,282,12.5,0.95
2025-05-27,SKU-B200,WH-Sarajevo,113,7.8,0.95
2025-05-27,SKU-C300,WH-Sarajevo,455,19.9,0.95
2025-05-28,SKU-A100,WH-Sarajevo,232,12.5,0.95
2025-05-28,SKU-B200,WH-Sarajevo,145,7.8,0.95
2025-05-28,SKU-C300,WH-Sarajevo,453,19.9,0.95
2025-05-29,SKU-A100,WH-Sarajevo,297,12.5,0.95
2025-05-29,SKU-B200,WH-Sarajevo,159,7.8,0.95
2025-05-29,SKU-C300,WH-Sarajevo,406,19.9,0.95
2025-05-30,SKU-A100,WH-Sarajevo,267,12.5,0.95
2025-05-30,SKU-B200,WH-Sarajevo,119,7.8,0.95
2025-05-30,SKU-C300,WH-Sarajevo,446,19.9,0.95
2025-05-31,SKU-A100,WH-Sarajevo,256,12.5,0.95
2025-05-31,SKU-B200,WH-Sarajevo,122,7.8,0.95
2025-05-31,SKU-C300,WH-Sarajevo,422,19.9,0.95
2025-06-01,SKU-A100,WH-Sarajevo,239,12.5,0.95
2025-06-01,SKU-B200,WH-Sarajevo,131,7.8,0.95
2025-06-01,SKU-C300,WH-Sarajevo,412,19.9,0.95
2025-06-02,SKU-A100,WH-Sarajevo,273,12.5,0.95
2025-06-02,SKU-B200,WH-Sarajevo,153,7.8,0.95
2025-06-02,SKU-C300,WH-Sarajevo,440,19.9,0.95
2025-06-03,SKU-A100,WH-Sarajevo,306,12.5,0.95
2025-06-03,SKU-B200,WH-Sarajevo,188,7.8,0.95
2025-06-03,SKU-C300,WH-Sarajevo,443,19.9,0.95
2025-06-04,SKU-A100,WH-Sarajevo,250,12.5,0.95
2025-06-04,SKU-B200,WH-Sarajevo,111,7.8,0.95
2025-06-04,SKU-C300,WH-Sarajevo,405,19.9,0.95
2025-06-05,SKU-A100,WH-Sarajevo,267,12.5,0.95
2025-06-05,SKU-B200,WH-Sarajevo,114,7.8,0.95
2025-06-05,SKU-C300,WH-Sarajevo,419,19.9,0.95
2025-06-06,SKU-A100,WH-Sarajevo,244,12.5,0.95
2025-06-06,SKU-B200,WH-Sarajevo,113,7.8,0.95
2025-06-06,SKU-C300,WH-Sarajevo,422,19.9,0.95
2025-06-07,SKU-A100,WH-Sarajevo,249,12.5,0.95
2025-06-07,SKU-B200,WH-Sarajevo,159,7.8,0.95
2025-06-07,SKU-C300,WH-Sarajevo,452,19.9,0.95
2025-06-08,SKU-A100,WH-Sarajevo,301,12.5,0.95
2025-06-08,SKU-B200,WH-Sarajevo,130,7.8,0.95
2025-06-08,SKU-C300,WH-Sarajevo,403,19.9,0.95
2025-06-09,SKU-A100,WH-Sarajevo,275,12.5,0.95
2025-06-09,SKU-B200,WH-Sarajevo,164,7.8,0.95
2025-06-09,SKU-C300,WH-Sarajevo,429,19.9,0.95
2025-06-10,SKU-A100,WH-Sarajevo,246,12.5,0.95
2025-06-10,SKU-B200,WH-Sarajevo,131,7.8,0.95
2025-06-10,SKU-C300,WH-Sarajevo,435,19.9,0.95
2025-06-11,SKU-A100,WH-Sarajevo,227,12.5,0.95
2025-06-11,SKU-B200,WH-Sarajevo,163,7.8,0.95
2025-06-11,SKU-C300,WH-Sarajevo,387,19.9,0.95
2025-06-12,SKU-A100,WH-Sarajevo,265,12.5,0.95
2025-06-12,SKU-B200,WH-Sarajevo,124,7.8,0.95
2025-06-12,SKU-C300,WH-Sarajevo,435,19.9,0.95
2025-06-13,SKU-A100,WH-Sarajevo,262,12.5,0.95
2025-06-13,SKU-B200,WH-Sarajevo,123,7.8,0.95
2025-06-13,SKU-C300,WH-Sarajevo,391,19.9,0.95
2025-06-14,SKU-A100,WH-Sarajevo,300,12.5,0.95
2025-06-14,SKU-B200,WH-Sarajevo,161,7.8,0.95
2025-06-14,SKU-C300,WH-Sarajevo,426,19.9,0.95
2025-06-15,SKU-A100,WH-Sarajevo,265,12.5,0.95
2025-06-15,SKU-B200,WH-Sarajevo,183,7.8,0.95
2025-06-15,SKU-C300,WH-Sarajevo,384,19.9,0.95
2025-06-16,SKU-A100,WH-Sarajevo,266,12.5,0.95
2025-06-16,SKU-B200,WH-Sarajevo,150,7.8,0.95
2025-06-16,SKU-C300,WH-Sarajevo,445,19.9,0.95
2025-06-17,SKU-A100,WH-Sarajevo,297,12.5,0.95
2025-06-17,SKU-B200,WH-Sarajevo,141,7.8,0.95
2025-06-17,SKU-C300,WH-Sarajevo,403,19.9,0.95
2025-06-18,SKU-A100,WH-Sarajevo,292,12.5,0.95
2025-06-18,SKU-B200,WH-Sarajevo,129,7.8,0.95
2025-06-18,SKU-C300,WH-Sarajevo,430,19.9,0.95
2025-06-19,SKU-A100,WH-Sarajevo,248,12.5,0.95
2025-06-19,SKU-B200,WH-Sarajevo,155,7.8,0.95
2025-06-19,SKU-C300,WH-Sarajevo,382,19.9,0.95
2025-06-20,SKU-A100,WH-Sarajevo,265,12.5,0.95
2025-06-20,SKU-B200,WH-Sarajevo,133,7.8,0.95
2025-06-20,SKU-C300,WH-Sarajevo,391,19.9,0.95
2025-06-21,SKU-A100,WH-Sarajevo,279,12.5,0.95
2025-06-21,SKU-B200,WH-Sarajevo,119,7.8,0.95
2025-06-21,SKU-C300,WH-Sarajevo,435,19.9,0.95
2025-06-22,SKU-A100,WH-Sarajevo,305,12.5,0.95
2025-06-22,SKU-B200,WH-Sarajevo,119,7.8,0.95
2025-06-22,SKU-C300,WH-Sarajevo,400,19.9,0.95
2025-06-23,SKU-A100,WH-Sarajevo,226,12.5,0.95
2025-06-23,SKU-B200,WH-Sarajevo,105,7.8,0.95
2025-06-23,SKU-C300,WH-Sarajevo,452,19.9,0.95
2025-06-24,SKU-A100,WH-Sarajevo,305,12.5,0.95
2025-06-24,SKU-B200,WH-Sarajevo,153,7.8,0.95
2025-06-24,SKU-C300,WH-Sarajevo,397,19.9,0.95
2025-06-25,SKU-A100,WH-Sarajevo,301,12.5,0.95
2025-06-25,SKU-B200,WH-Sarajevo,162,7.8,0.95
2025-06-25,SKU-C300,WH-Sarajevo,447,19.9,0.95
2025-06-26,SKU-A100,WH-Sarajevo,299,12.5,0.95
2025-06-26,SKU-B200,WH-Sarajevo,168,7.8,0.95
2025-06-26,SKU-C300,WH-Sarajevo,374,19.9,0.95
2025-06-27,SKU-A100,WH-Sarajevo,231,12.5,0.95
2025-06-27,SKU-B200,WH-Sarajevo,104,7.8,0.95
2025-06-27,SKU-C300,WH-Sarajevo,432,19.9,0.95
2025-06-28,SKU-A100,WH-Sarajevo,303,12.5,0.95
2025-06-28,SKU-B200,WH-Sarajevo,148,7.8,0.95
2025-06-28,SKU-C300,WH-Sarajevo,426,19.9,0.95
2025-06-29,SKU-A100,WH-Sarajevo,296,12.5,0.95
2025-06-29,SKU-B200,WH-Sarajevo,149,7.8,0.95
2025-06-29,SKU-C300,WH-Sarajevo,387,19.9,0.95
